codigo_interno;descricao_do_produto
012479;BUCHA LEQUE DT SUSP DIANT
012480;FILTRO AR
012481;COXIM CAIXA TS COM ROSCA
012482;COXIM CAIXA TS SEM ROSCA
012483;FILTRO COMBUSTIVEL CARBURADO
012484;LEQUE LE SUSP TS
012485;LEQUE LD SUSP TS
012486;MOTOR PASSO (ATUADOR MARCHA LENTA)
012487;TINTA SPRAY WHITE COLOR VERMELHO
012488;TINTA SPRAY WHITE COLOR PRETO
012489;TINTA SPRAY WHITE COLOR ALUMINIO
012490;BATENTE AMORT DT
012491;PALHETA DT SLIM SD (SILICONE)
012492;LONA FREIO TS
012493;AMORT DT LADO DIREITO
012494;AMORT DT LADO ESQUERDO
012495;CORREIA CVA
012496;BUCHA LEQUE DT SUSP DIANT
012497;CUBO RODA TS SEM ROLAMENTO
012498;FORMULARIO CONTINUO
012499;MANGUEIRA ENVIO AQUECIMENTO INTERNO
012500;PASTILHA DT
012501;PALHETA TRASEIRA
012502;AXIAL DIRECAO
012503;AXIAL DIRECAO
012504;AXIAL DIRECAO
012505;AXIAL DIRECAO;dh,dm,fiat,fiorino,grand,mobi,novo,palio,siena,uno;0 2 4 6 8,1 3 5 7 9,0 1 2 3 4 5 6 7 8 9,4 5,0 1,2 3,4 5 6 7 8 9,6 7,0 1,8 9;4 2 8 0,4 2 8 1,5 2 0,5 2 1,6 3 2 0,6 3 2 1,6 7 2 0,6 7 2 1,6 9 2 0,6 9 2 1;2012 2021,2012 2021,2016 2023,2016 2023,2014 2017,2014 2017,2011 2019,2011 2019,2010 2016,2010 2016
012506;LEQUE LD SUSP DT;etios;0;0;2012 2022
012507;LEQUE LE SUSP DT;etios;0;0;2012 2022
012508;BOBINA IGNICAO
012509;LEQUE LD/LE SUSP DT
012510;FILTRO COMBUSTIVEL
012511;HOMOCINETICA RODA
012512;BATENTE/COIFA AMORT DT
012513;SENSOR NIVEL COMBUSTIVEL
012514;CAPA PROTECAO CORREIA
012515;DISCO FREIO DT VENTILADO
012516;BATENTE AMORT TS
012517;BATENTE AMORT TS
012518;BATENTE AMORT TS
012519;BATENTE AMORT TS
012520;BATENTE AMORT TS
012521;BATENTE SUSPENSAO DT
012522;BATENTE SUSPENSAO TS
012523;BATENTE FEIXE MOLA SUSP TS
012524;BATENTE FEIXE MOLA SUSP TS
012525;BATENTE/COIFA AMORT TS
012526;BATENTE AMORT TS
012527;BATENTE AMORT TS
012528;COIFA LOCALIZADORA AMORT DT
012529;BATENTE/COIFA AMORT DT
012530;BIELETA DT
012531;VELA IGNICAO
012532;COXIM CAIXA INFERIOR
012533;BOBINA IGNICAO
012534;CABO VELA
012535;AMORT TS
012536;CORREIA ALT
012537;CABO VELA
012538;BRONZINA FIXA (MANCAL)
012539;BRONZINA MOVEL (BIELA)
012540;SERVO FREIO
012541;COXIM CAIXA INFERIOR
012542;COXIM CAIXA FRONTAL
012543;COXIM CAIXA INFERIOR
012544;COXIM MOTOR HIDRAULICO
012545;AMORT TS
012546;COXIM CAIXA INFERIOR
012547;COXIM CAIXA SUPERIOR
012548;INTERRUPTOR TEMPERATURA INJECAO
012549;COXIM MOTOR
012550;BUCHA AGREGADO SUSP TS
012551;PONTEIRA DIRECAO LD
012552;PONTEIRA DIRECAO LE
012553;CORREIA ALT
012554;AMORT TS
012555;BUCHA LEQUE DT SUSP DIANT;megane,scenic;0,1;0,1;2005 2024,2007 2024
012556;COXIM MOTOR
012557;COXIM CAIXA INFERIOR
012558;COXIM MOTOR
012559;FILTRO AR
012560;JUNTA TV
012561;VALVULA TERMOSTATICA
012562;CORREIA CVA
012563;TENSOR CVA
012564;JUNTA MOTOR
012565;JUNTA TV
012566;DISCO FREIO DT SOLIDO
012567;BOMBA DAGUA
012568;LAMPADA FAROL H7 LONGLIFE ECOVISION
012569;TENSOR CVA
012570;BOBINA IGNICAO
012571;PASTILHA TS
012572;PONTEIRA DIRECAO LD
012573;CORREIA ALT
012574;VELA IGNICAO
012575;TAMBOR FREIO TS
012576;AMORT TS
012577;AMORT TAMPA TS
012578;AMORT DT LADO DIREITO
012579;AMORT DT LADO ESQUERDO
012580;REGULADOR PRESSAO
012581;REGULADOR PRESSAO
012582;REGULADOR PRESSAO
012583;PALHETA DT SLIM BLADE +  (SILICONE)
012584;PALHETA DT SLIM BLADE +  (SILICONE)
012585;VELA IGNICAO
012586;PASTILHA DT
012587;PALHETA DT SLIM BLADE +  (SILICONE)
012588;HOMOCINETICA RODA
012589;FILTRO OLEO
012590;SONDA LAMBDA
012591;CORREIA TRAPEZOIDAL ESTRIADA
012592;CORREIA TRAPEZOIDAL ESTRIADA
012593;CILINDRO MESTRE FREIO
012594;CUBO RODA TS COM ROLAMENTO
012595;RESERVATORIO AGUA
012596;RESERVATORIO AGUA
012597;COXIM MOTOR
012598;COXIM AMORT DT
012599;COXIM CAIXA INFERIOR
012600;CILINDRO MESTRE FREIO
012601;COXIM CAIXA SUPERIOR
012602;BIELETA DT
012603;CORREIA CVA
012604;ANTI CHAMA
012605;KIT BARRA ESTAB DT LD/LE;megane,scenic;0,1;0,1;2007 2024,2007 2024
012606;FILTRO AR
012607;PARAFUSO RODA ANTI FURTO
012608;PARAFUSO RODA ANTI FURTO
012609;PARAFUSO RODA ANTI FURTO
012610;VELA IGNICAO
012611;CORPO BORBOLETA
012612;PONTEIRA DIRECAO LD;c3;0;0;2003 2012
012613;PONTEIRA DIRECAO LE
012614;PONTEIRA DIRECAO LD
012615;PONTEIRA DIRECAO LE
012616;PONTEIRA DIRECAO LD
012617;CABO VELA
012618;PONTEIRA DIRECAO LE
012619;PONTEIRA DIRECAO LD
012620;PONTEIRA DIRECAO LE
012621;FILTRO AR
012622;OLEO HIDRAULICO (AUTOMATICO)
012623;CABO FREIO MAO TS
012624;CABO FREIO MAO TS
012625;AMORT DT LADO ESQUERDO
012626;AMORT DT LADO DIREITO
012627;COXIM AMORT TS;a3,g5,g6,g7,jetta,saveiro,variant;0,2,3,4,1,2 3 4,1;0,4 6,1 5,2 5,3 5;2004 2012,2007 2009,2009 2019,2009 2019,2009 2019
012628;TENSOR ALTERNADOR
012629;AMORT TAMPA TS
012630;AMORT TAMPA TS
012631;AMORT TAMPA TS
012632;AMORT TAMPA TS
012633;AMORT TAMPA TS
012634;CANO DAGUA
012635;LONA C/ PATIM
012636;CORPO BORBOLETA
012637;CUBO RODA TS COM ROLAMENTO
012638;CUBO RODA TS COM ROLAMENTO
012639;TAMBOR FREIO TS
012640;BIELETA DIANTEIRA LADO DIREITO
012641;BIELETA DIANTEIRA LADO ESQUERDO
012642;COLAR EMBREAGEM
012643;TAMPA OLEO
012644;TAMPA OLEO
012645;BOMBA DAGUA
012646;BOMBA DAGUA
012647;COXIM MOTOR;galloper,l200;0,1;0,1;1998 1999,1995 2006
012648;COXIM CAIXA INFERIOR;l200;0;0;1995 2006
012649;COXIM MOTOR HIDRAULICO;airtrek,outlander;0,1;0,1;2003 2007,2008 2018
012650;AMORT TAMPA TS
012651;AMORT TAMPA TS
012652;AMORT TAMPA TS
012653;AMORT TAMPA TS
012654;AMORT TAMPA TS
012655;AMORT TAMPA TS
012656;AMORT TAMPA TS
012657;AMORT TAMPA TS
012658;AMORT TAMPA TS
012659;AMORT TAMPA TS
012660;AMORT TAMPA TS
012661;AMORT TAMPA TS
012662;AMORT TAMPA TS
012663;AMORT TAMPA TS
012664;AMORT TAMPA TS
012665;AMORT TAMPA TS
012666;AMORT TAMPA TS
012667;AMORT TAMPA TS
012668;AMORT TAMPA TS
012669;AMORT TAMPA TS
012670;AMORT TAMPA TS
012671;AMORT TAMPA TS
012672;AMORT TAMPA TS
012673;AMORT TAMPA TS
012674;AMORT TAMPA TS
012675;AMORT TAMPA TS
012676;AMORT TAMPA TS
012677;AMORT TAMPA TS
012678;AMORT TAMPA TS
012679;AMORT TAMPA TS
012680;AMORT TAMPA TS
012681;AMORT TAMPA TS
012682;AMORT TAMPA TS
012683;AMORT TAMPA TS
012684;AMORT TAMPA TS
012685;AMORT TAMPA TS
012686;AMORT TAMPA TS
012687;AMORT TAMPA TS
012688;AMORT TAMPA TS
012689;AMORT TAMPA TS
012690;AMORT TAMPA TS
012691;AMORT TAMPA TS
012692;AMORT TAMPA TS
012693;AMORT TAMPA TS
012694;AMORT TAMPA TS
012695;AMORT TAMPA TS
012696;AMORT TAMPA TS
012697;AMORT TAMPA TS
012698;AMORT TAMPA TS
012699;AMORT TAMPA TS
012700;AMORT TAMPA TS
012701;AMORT TAMPA TS
012702;COXIM AMORT TS
012703;COXIM MOTOR HIDRAULICO
012704;AMORT TAMPA TS
012705;AMORT TAMPA TS
012706;AMORT TAMPA TS
012707;AMORT TAMPA TS
012708;AMORT TAMPA TS
012709;AMORT TAMPA TS
012710;AMORT TAMPA TS
012711;AMORT TAMPA TS
012712;AMORT TAMPA TS
012713;AMORT TAMPA TS
012714;AMORT TAMPA TS
012715;AMORT TAMPA TS
012716;AMORT TAMPA TS
012717;AMORT TAMPA TS
012718;AMORT TAMPA TS
012719;AMORT TAMPA TS
012720;AMORT TAMPA TS
012721;AMORT TAMPA TS
012722;AMORT TAMPA TS
012723;AMORT TAMPA TS
012724;AMORT TAMPA TS
012725;AMORT TAMPA TS
012726;AMORT TAMPA TS
012727;AMORT TAMPA TS
012728;AMORT TAMPA TS
012729;AMORT TAMPA TS
012730;AMORT TAMPA TS
012731;FILTRO AR
012732;LEQUE LD SUSP DT
012733;LEQUE LE SUSP DT
012734;CILINDRO EMBREAGEM AUXILIAR (CAIXA/ESCRAVO)
012735;BUCHA COXIM CAIXA INFERIOR (REFIL)
012736;BATENTE COXIM MOTOR LD
012737;BATENTE COXIM MOTOR LE
012738;CILINDRO EMBREAGEM MESTRE ( PEDAL )
012739;CILINDRO EMBREAGEM AUXILIAR (CAIXA/ESCRAVO)
012740;CILINDRO EMBREAGEM MESTRE ( PEDAL )
012741;COXIM CAIXA INFERIOR
012742;COXIM CAIXA INFERIOR
012743;COXIM CAIXA INFERIOR
012744;COXIM CAIXA INFERIOR
012745;COXIM MOTOR
012746;COXIM CAIXA INFERIOR
012747;COXIM CAIXA SUPERIOR
012748;COXIM CAIXA INFERIOR
012749;COXIM CAIXA INFERIOR
012750;COXIM CAIXA INFERIOR
012751;COXIM MOTOR HIDRAULICO
012752;COXIM MOTOR HIDRAULICO
012753;FILTRO AR
012754;FILTRO AR
012755;TENSOR ALTERNADOR
012756;MOLA SUSP DT
012757;MOLA SUSP TS
012758;LEQUE LE SUSP DT;bravo,stilo;0,1;0,1;2011 2012,2002 2011
012759;FILTRO INJECAO
012760;BIELETA DIANTEIRA LADO DIREITO
012761;BIELETA DIANTEIRA LADO ESQUERDO
012762;PALHETA DT SLIM BLADE +  (SILICONE)
012763;COXIM MOTOR HIDRAULICO;blazer,omega,s10,suprema;0,1,2,3;0,1,2,3;1998 2011,1993 1998,1998 2011,1993 1996
012764;TRIZETA
012765;TAMPA OLEO
012766;COXIM MOTOR
012767;COXIM MOTOR HIDRAULICO
012768;BIELETA DT
012769;COXIM MOTOR HIDRAULICO
012770;COXIM MOTOR HIDRAULICO
012771;COXIM MOTOR
012772;COXIM MOTOR
012773;COXIM MOTOR
012774;COXIM MOTOR
012775;COXIM CAIXA INFERIOR C/ SUPORTE
012776;COXIM MOTOR
012777;COXIM CAIXA SUPERIOR
012778;COXIM CAIXA INFERIOR
012779;COXIM CAIXA INFERIOR
012780;COXIM MOTOR
012781;COXIM CAIXA INFERIOR
012782;COXIM CAIXA SUPERIOR
012783;COXIM MOTOR
012784;COXIM MOTOR
012785;COXIM CAIXA INFERIOR
012786;COXIM MOTOR
012787;COXIM CAIXA INFERIOR
012788;COXIM CAIXA INFERIOR
012789;COXIM CAIXA INFERIOR
012790;KIT BARRA ESTABILIZADORA
012791;PALHETA DT SLIM SD (SILICONE)
012792;COXIM CAIXA SUPERIOR
012793;COXIM AMORT TS;ecosport,fiesta,ford,ka,new;0,2,0 1 2,1,2;2 0,3 2,4 1 2;2012 2021,2015 2021,2014 2019
012794;COXIM MOTOR
012795;COXIM CAIXA SUPERIOR
012796;BUCHA LEQUE DT SUSP DIANT
012797;COXIM MOTOR
012798;COXIM MOTOR HIDRAULICO
012799;COXIM CAIXA SUPERIOR
012800;COXIM CAIXA INFERIOR
012801;COXIM CAIXA SUPERIOR
012802;COXIM CAIXA SUPERIOR
012803;COXIM MOTOR
012804;COXIM MOTOR HIDRAULICO
012805;COXIM CAIXA SUPERIOR
012806;COXIM CAIXA SUPERIOR
012807;COXIM CAIXA INFERIOR
012808;COXIM CAIXA SUPERIOR
012809;COXIM CAIXA INFERIOR
012810;COXIM CAIXA
012811;COXIM CAIXA INFERIOR
012812;COXIM CAIXA INFERIOR
012813;EIXO COMANDO
012814;SELO COMANDO GRANDE/PEQUENO (KIT)
012815;COXIM CAIXA INFERIOR
012816;COXIM CAIXA
012817;COXIM MOTOR
012818;COXIM CAIXA FRONTAL
012819;COXIM CAIXA SUPERIOR
012820;COXIM CAIXA SUPERIOR
012821;COXIM MOTOR
012822;COXIM AMORT DT
012823;COXIM CAIXA SUPERIOR
012824;COXIM CAIXA SUPERIOR
012825;COXIM CAIXA INFERIOR
012826;COXIM CAIXA SUPERIOR
012827;COXIM CAIXA INFERIOR
012828;COXIM CAIXA INFERIOR
012829;PALHETA DT SLIM PLUS  (SILICONE)
012830;VALVULA PARTIDA FRIO (SOLENOIDE/ELETRO VALVULA)
012831;COXIM CAIXA INFERIOR
012832;COXIM CAIXA INFERIOR
012833;COXIM CAIXA INFERIOR
012834;AMORT DT
012835;AMORT DT LADO DIREITO
012836;AMORT DT LADO ESQUERDO
012837;AMORT TS
012838;AMORT DT
012839;HOMOCINETICA RODA
012840;MOTOR PASSO (ATUADOR MARCHA LENTA)
012841;REPARO ARTICULADOR
012842;COXIM CAIXA INFERIOR
012843;COXIM CAIXA
012844;KIT EMBREAGEM
012845;COXIM CAIXA INFERIOR
012846;COXIM CAIXA SUPERIOR
012847;COXIM CAIXA SUPERIOR
012848;CORREIA ALT
012849;JUNTA TV
012850;JUNTA TV
012851;JUNTA TV
012852;JUNTA TV
012853;VELA IGNICAO
012854;VELA IGNICAO
012855;BIELETA TS
012856;JUNTA RETIFICACAO MOTOR
012857;FILTRO AR
012858;CORREIA CVA
012859;PIVO SUSPENSAO
012860;COXIM CAIXA INFERIOR
012861;COXIM CAIXA INFERIOR
012862;COXIM CAIXA INFERIOR C/ SUPORTE
012863;AMORT TS
012864;AMORT DT LADO DIREITO
012865;AMORT DT LADO ESQUERDO
012866;CORREIA ALT
012867;COXIM MOTOR
012868;COXIM CAIXA SUPERIOR
012869;BUCHA LEQUE DT SUSP DIANT
012870;COXIM AMORT DT
012871;SENSOR ROTACAO
012872;CUBO RODA TS COM ROLAMENTO
012873;CUBO RODA TS COM ROLAMENTO
012874;CUBO RODA DT COM ROLAMENTO
012875;CUBO RODA TS COM ROLAMENTO
012876;AMORT DT
012877;BIELETA DT
012878;CABO VELA
012879;BOBINA IGNICAO
012880;CABO VELA
012881;SONDA LAMBDA
012882;RESERVATORIO GASOLINA (PARTIDA FRIO)
012883;CUBO RODA DT COM ROLAMENTO
012884;PONTEIRA DIRECAO LD
012885;MANGUEIRA RESPIRO OLEO
012886;MANGUEIRA FILTRO AR
012887;MANGUEIRA RESPIRO OLEO
012888;HOMOCINETICA RODA
012889;JUNTA MOTOR
012890;COXIM CAIXA SUPERIOR
012891;PIVO INFERIOR DT LD LE;bongo,k2500;0,0;1 0;2007 2017
012892;PIVO SUPERIOR DT LD LE;bongo,k2500c;0,0;1 0;2007 2017
012893;COXIM CAIXA SUPERIOR
012894;AMORT TAMPA TS
012895;COIFA RODA
012896;BATERIA
012897;MOLA SUSP DT
012898;CANO DAGUA
012899;INTERRUPTOR DH
012900;CAIXA DIRECAO (( DM )) S/ PINO
012901;PIVO SUPERIOR DT LD LE
012902;LEQUE LE SUSP DT
012903;LEQUE LD SUSP DT
012904;BUCHA LEQUE DT SUSP DIANT;city,fit,honda;0,1,0 1;0 2,1 2;2009 2019,2009 2021
012905;PALHETA DT SLIM PLUS  (SILICONE)
012906;FILTRO ACD
012907;COXIM CAIXA SUPERIOR;2.0,automatico,corolla;0,0,0;1 2 0;2008 2014
012908;LONA C/ PATIM
012909;LONA C/ PATIM
012910;LONA C/ PATIM
012911;COXIM AMORT TS
012912;BRONZINA FUSCA - BRASILIA - KOMBI
012913;FILTRO COMBUSTIVEL INTERNO
012914;AMORT DT LADO ESQUERDO
012915;AMORT DT LADO DIREITO
012916;LEQUE LD SUSP DT
012917;LEQUE LE SUSP DT INFERIOR
012918;COXIM AMORT DT;cw,i30;1,0 1;1,0 1;2010 2016,2011 2012
012919;COXIM AMORT DT
012920;COXIM AMORT DT
012921;COXIM AMORT TS
012922;CORPO BORBOLETA
012923;VALVULA TERMOSTATICA
012924;JUNTA TV
012925;COXIM CAIXA
012926;BATENTE AMORT DT
012927;COIFA AMORT DT
012928;COXIM AMORT DT LD
012929;COXIM AMORT DT LE
012930;ROLAMENTO COXIM AMORT DT
012931;COXIM MOTOR
012932;LEQUE LE SUSP DT INFERIOR
012933;ROLAMENTO RODA TS
012934;OLEO MOTOR SINTETICO
012935;OLEO MOTOR MINERAL
012936;OLEO MOTOR MINERAL
012937;OLEO MOTOR DIESEL
012938;JUNTA RETIFICACAO MOTOR
012939;AMORT DT
012940;AMORT DT;boxer,citroën,ducato,fiat,jumper,peugeot;2,0,1,1,0,2;1 4,2 3,5 0;1995 2005,1995 2005,1995 2005
012941;BATENTE COXIM MOTOR LD
012942;AMORT DT;1.6,clio,hatch,rl,rn,rt,sedan,si,symbol;0 1 2 3 4 5 6 7,0 1 2 3 4 5 6 7,0 1 2 3,0 4,1 5,2 6,4 5 6 7,3 7,8;1 2 3 0,4 1 2 0,5 1 2 0,7 1 2 0,6 1 3 0,6 4 1 0,5 6 1 0,7 6 1 0,8;2000 2009,2000 2009,2000 2009,2000 2009,2000 2009,2000 2009,2000 2009,2000 2009,2009 2013
012943;AMORT TS
012944;AMORT DT LADO DIREITO;civic,honda;0,0;0 1;2001 2002
012945;AMORT DT LADO ESQUERDO;civic,honda;0,0;0 1;2001 2002
012946;COIFA RODA
012947;LEQUE LD SUSP DT
012948;LEQUE LD SUSP DT
012949;AMORT DT;megane,scenic;0,1;0,1;1998 2005,1999 2010
012950;AMORT TS;scenic;0;0;1999 2011
012951;LEQUE LE SUSP DT
012952;AMORT DT LADO DIREITO
012953;LEQUE LD SUSP DT
012954;AMORT DT LADO ESQUERDO
012955;AMORT DT LADO DIREITO;corolla,toyota;0,0;0 1;2003 2008
012956;AMORT DT LADO ESQUERDO;corolla,fielder,toyota;0,1,0 1;0 2,1 2;2002 2008,2005 2008
012957;LEQUE LE SUSP DT
012958;AMORT TS;logan,sandero;0,1;0,1;2006 2013,2008 2013
012959;LEQUE LE SUSP DT
012960;LEQUE LD SUSP DT
012961;LEQUE LD/LE SUSP DT
012962;LEQUE LD SUSP DT
012963;LEQUE LE SUSP DT
012964;LEQUE LD/LE SUSP DT
012965;CORREIA ALT
012966;BOMBA DAGUA
012967;DISCO FREIO TS SOLIDO
012968;TENSOR ALTERNADOR
012969;DISCO FREIO TS SOLIDO
012970;BUCHA LEQUE TS SUSP DIANT;azera,cadenza,carnival,fe,grand,ix35,new,optima,santa,sonata,sorento,soul,sportage,tucson;0,1,2,7,2,3,4 5,6,7,8,9,4,10,5;0,1,4 2,5,11 6,13 6,7,8 3,9,10,12;2012 2023,2011 2016,2016 2021,2010 2022,2016 2020,2017 2023,2012 2015,2013 2019,2011 2014,2010 2020,2011 2023
012971;BUCHA LEQUE DT SUSP DIANT;ix35,sportage;0,1;0,1;2010 2022,2011 2016
012972;COXIM AMORT DT
012973;CHAVE SETA C/ LIMPADOR TS
012974;PASTILHA TS
012975;FILTRO ACD
012976;BOMBA INJECAO REFIL
012977;JUNTA TV
012978;CORREIA ALT
012979;VELA IGNICAO
012980;VELA IGNICAO
012981;TAMBOR FREIO TS
012982;LEQUE LD SUSP DT
012983;LEQUE LE SUSP DT
012984;COXIM AMORT DT
012985;AMORTECEDOR DIANTEIRO LD
012986;AMORTECEDOR DIANTEIRO LE
012987;AXIAL DIRECAO
012988;AMORTECEDOR DIANTEIRO LD
012989;COXIM AMORT DT;clio,kangoo,symbol,twingo;0,1,2,3;0,1,2,3;1998 2016,2000 2018,2009 2013,1994 2002
012990;COXIM AMORT DT;quantum,royale,santana,versailles;0,1,2,3;0,1,2,3;1985 1995,1992 1996,1984 1995,1991 1996
012991;AMORTECEDOR DIANTEIRO LE
012992;LONA FREIO TS
012993;AMORT DT
012994;RADIADOR AGUA
012995;FLEXIVEL DT LADO DIREITO
012996;FLEXIVEL DT LADO ESQUERDO
012997;SENSOR VELOCIDADE
012998;PALHETA DT SLIM PLUS  (SILICONE)
012999;PIVO INFERIOR DT LE
013000;PIVO INFERIOR DT LE
013001;MANGUEIRA FILTRO AR
013002;COXIM AMORT DT
013003;VELA IGNICAO
013004;RETENTOR CAIXA (HASTE SELETORA)
013005;AMORTECEDOR DIANTEIRO;a,classe,mercedes;0,0,0;0 1 2;1999 2005
013006;AMORT TS;furgao,master,minibus,renault;0,0 1,1,0 1;0 3 1,2 3 1;2002 2012,2002 2012
013007;AMORT DT;2.5,2.8,dci,furgao,master,renault;0,1,0,0 1,0 1,0 1;3 2 5 4 0,3 5 4 1;2005 2012,2003 2004
013008;AMORT TS;4x4,exceto,l200,sport;0,0,0,0;1 3 2 0;1993 2006
013009;AMORT DT;hilux,toyota;0,0;0 1;1997 2001
013010;AMORTECEDOR TRASEIRO;io,pajero,tr4;0,0 1,1;0 1,2 1;2000 2002,2003 2015
013012;CORREIA ALT
013013;VALVULA CILINDRO MESTRE
013014;PALHETA DT SLIM BLADE +  (SILICONE)
013015;CORREIA CVA/BOMBA DAGUA
013016;BICO INJECAO
013017;COXIM MOTOR
013018;HOMOCINETICA RODA
013019;DISCO FREIO DT VENTILADO
013020;CHAVE SETA C/ LIMPADOR TS
013021;COXIM CAIXA SUPERIOR
013022;AMORT DT
013023;FILTRO AR
013024;CILINDRO EMBREAGEM MESTRE ( PEDAL )
013025;COXIM AMORT DT
013026;JUNTA CARTER
013027;PASTILHA DT
013028;ROLAMENTO RODA DT
013029;COXIM MOTOR
013030;COXIM AMORT DT (KIT COXIM+COIFA+BATENTE)
013031;CORREIA CVA
013032;FILTRO ACD
013033;COXIM CAIXA SUPERIOR
013034;MOLA SUSP TS
013035;PALHETA DT CONVENCIONAL
013036;JUNTA CABECOTE
013037;JUNTA CABECOTE METALICA (MLS)
013038;VELA IGNICAO
013039;HOMOCINETICA CAIXA
013040;FILTRO ACD
013041;FILTRO AR
013042;LONA C/ PATIM
013043;AMORT TAMPA TS
013044;AMORT TAMPA TS
013045;AMORT TAMPA TS
013046;CHEIRINHO TEC FRESH GEL
013047;CHEIRINHO TEC FRESH GEL 55G
013048;CHEIRINHO TEC FRESH GEL 60ML 005240
013049;AGUA BIDESMINERALIZADA
013050;COROA PINHAO
013051;COROA PINHAO
013052;RADIADOR AGUA
013053;HOMOCINETICA RODA
013054;RADIADOR AGUA
013055;AMORT DT LADO DIREITO
013056;AMORT DT LADO ESQUERDO
013057;FILTRO ACD
013058;FILTRO AR
013059;COXIM MOTOR
013060;HOMOCINETICA RODA/CAIXA (SEMI EIXO)
013061;COXIM CAIXA INFERIOR
013062;HOMOCINETICA RODA/CAIXA (SEMI EIXO)
013063;BUCHA LEQUE TS SUSP DIANT
013064;BUCHA LEQUE DT SUSP DIANT
013065;BUCHA LEQUE TS SUSP DIANT;chevrolet,cobalt,onix,prisma,sonic,spin;0 1 2 3 4,0,1,2,3,4;0 1,0 2,3 0,4 0,5 0;2011 2020,2012 2019,2013 2019,2012 2014,2012 2022
013066;BUCHA LEQUE DT SUSP DIANT;cobalt,onix,prisma,sonic,spin;0,1,2,3,4;0,1,2,3,4;2011 2020,2013 2019,2013 2019,2012 2014,2012 2022
013067;COXIM MOTOR
013068;COXIM CAIXA SUPERIOR;celta,corsa,pick,prisma,sedan,up,wagon;0,1 2 3,1,4,2,1,3;0,5 1 2,4 1,6 1,3;2001 2016,1994 2003,1994 2003,1994 2003,2007 2012
013069;SENSOR NIVEL COMBUSTIVEL
013070;BIELETA DT;cobalt;0;0;2011 2020
013071;COXIM MOTOR
013072;BUCHA LEQUE SUPERIOR DIANT;fusion;0;0;2006 2024
013073;COXIM MOTOR
013074;KIT BARRA ESTABILIZADORA DT;206,peugeot;0,0;1 0;1998 2008
013075;CUBO RODA DT
013076;AMORT DT
013077;AMORT TS
013078;ROTOR DISTRIBUICAO
013079;TAMPA DISTRIBUIDOR
013080;PASTILHA TS
013081;CILINDRO MESTRE FUSCA .../76
013082;COXIM MOTOR
013083;COXIM MOTOR
013084;COXIM MOTOR;500,a10,a20,c10,c20,caravan,chevette,chevy,marajo,opala;6,0,1,2,3,4,5,6,7,8;1,2,3,4,5,6,7 0,8,9;1985 1987,1985 1987,1985 1987,1985 1987,1974 1992,1973 1993,1985 1995,1985 1989,1969 1992
013085;FILTRO AR
013086;COXIM CABINE
013087;COXIM CABINE
013088;COXIM CABINE
013089;COXIM CAIXA INFERIOR;a20,a40,c20,c40,d20,d40,troller;0,1,2,3,4,5,6;0,1,2,3,4,5,6;1992 1996,1992 1996,1992 1996,1992 1996,1992 1996,1992 1996,2005 2014
013090;COXIM CAIXA SUPERIOR;agile,celta,classic,corsa,montana,prisma,tigra;0,1,2,3,4,5,6;0,1,2,3,4,5,6;2010 2014,2001 2016,2010 2017,1994 2002,2004 2021,2007 2012,1998 1999
013091;COXIM MOTOR;vectra;0;0;1997 2005
013092;COXIM CAIXA SUPERIOR;corsa,meriva,montana;0,1,2;0,1,2;2002 2012,2003 2012,2004 2010
013093;COXIM CAIXA SUPERIOR;chevrolet,corsa,meriva,montana,sedan;0 1 2 3,0 1,2,3,1;0 1,4 0 1,2 0,3 0;2002 2012,2002 2012,2003 2012,2004 2010
013094;COXIM CAIXA INFERIOR
013095;COXIM MOTOR
013096;COXIM RADIADOR
013097;COXIM CAIXA INFERIOR;1.0,1.4,1.8,16v,chevrolet,cobalt,ecotec,onix,prisma,sonic,spin,tracker;2 4 6 8,0 3 5 7 9,1 10,10,0 1 2 3 4 5 6 7 8 9 10,0 1,10,2 3,4 5,6 7,8 9,10;5 4 1,5 4 2,7 4 0,7 4 1,8 4 0,8 4 1,9 4 0,9 4 1,10 4 0,10 4 1,4 11 6 2 3;2013 2020,2013 2020,2013 2021,2013 2021,2013 2019,2013 2019,2012 2014,2012 2014,2013 2023,2013 2023,2014 2016
013098;ATUADOR HIDRAULICO
013099;HOMOCINETICA RODA
013100;COIFA RODA
013101;FILTRO INJECAO
013102;AMORT TS
013103;AMORT TS
013104;PONTEIRA DIRECAO LE
013105;PONTEIRA DIRECAO LD
013106;DESCARBONIZANTE
013107;DESCARBONIZANTE
013108;ADITIVO COMBUSTIVEL
013109;LIMPA MOTOR
013110;LIMPA MOTOR
013111;ADITIVO MOTOR (MEL P/ MOTOR CANSADO)
013112;ADITIVO MOTOR (MEL P/ MOTOR CANSADO)
013113;LIMPA CAIXA DH
013114;ANTI FERRUGEM (DESENGRIPANTE)
013115;LIMPA CONTATO ELETRICO
013116;GRAXA SPRAY BRANCA
013117;SILICONE SPRAY
013118;VASELINA SPRAY
013119;ANTI FERRUGEM (DESENGRIPANTE)
013120;HIGIENIZADOR/LIMPA AR CONDICIONADO
013121;LIMPA FREIOS
013122;PASTILHA DT
013123;ANTI RUIDO/CHIO PASTILHA FREIO
013124;VEDA RADIADOR LIQUIDO
013125;ADITIVO RADIADOR AZUL
013126;ADITIVO RADIADOR AMARELO (SINTETICO PRONTO PARA USO)
