codigo_interno;descricao_do_produto
000180;ROLAMENTO RODA DT INTERNO
000181;RETENTOR VOLANTE
000182;RETENTOR VALVULA
000183;RETENTOR VOLANTE
000184;PALHETA TRASEIRA
000185;PINHAO DISTRIBUIDOR
000186;KIT DISTRIBUICAO PARCIAL
000187;TUCHO VALVULA MOTOR
000188;CORREIA ALT
000189;CORREIA ALT
000190;CORREIA ALT
000191;CORREIA DH
000192;CORREIA ALT
000193;VELA IGNICAO
000194;VELA IGNICAO
000195;VELA IGNICAO
000196;VELA IGNICAO
000197;VELA IGNICAO
000198;VELA IGNICAO
000199;VELA IGNICAO
000200;ROTOR DISTRIBUICAO
000201;CONDENSADOR
000202;LAMPADA FAROL R2 STANDARD
000203;LAMPADA 1 POLO PEQUENA
000204;FLEXIVEL FREIO TS
000205;VELA IGNICAO
000206;INTERRUPTOR FREIO
000207;INTERRUPTOR FREIO
000208;INTERRUPTOR OLEO
000209;INTERRUPTOR OLEO
000210;BATENTE AMORT TS
000211;FILTRO AR
000212;FILTRO OLEO
000213;FILTRO COMBUSTIVEL
000214;FUSIVEL LOUCA VW FUSCA 30A AMS
000215;FUSIVEL LOUCA FUSCA 15A
000216;FUSIVEL LAMINA 10A VERMELHO
000217;FUSIVEL LAMINA
000218;FUSIVEL LAMINA 20A AMARELO
000219;FUSIVEL LAMINA 25A ACRILICO
000220;FUSIVEL MINI 5A LARANJA (A179) AMS
000221;FUSIVEL LAMINA
000222;FUSIVEL MINI 10A VERMELHO
000223;FUSIVEL MINI 15A AZUL
000224;FUSIVEL MINI 20A AMARELO
000225;FUSIVEL MINI 30A VERDE
000226;TENSOR CVA
000227;PALHETA DT CONVENCIONAL
000228;MANGUEIRA RESPIRO OLEO
000229;JUNTA TV
000230;BOMBA COMBUSTIVEL CARBURADO
000231;KIT EMBREAGEM
000232;JUNTA CARTER
000233;CEBOLAO RADIADOR UNIVERSAL GASOLINA
000234;AMORT TS
000235;INTERRUPTOR TEMPERATURA AGUA
000236;BUCHA CAIXA DIRECAO
000237;BALANCIM MOTOR
000238;CORREIA CVA
000239;CORREIA ALT
000240;FLEXIVEL FREIO (DT) CORCEL NORFLEX
000241;VALVULA TERMOSTATICA
000242;JUNTA COLETOR ESCAPAMENTO
000243;JUNTA COLETOR ADMISSAO/ESCAPAMENTO
000244;JUNTA COLETOR ESCAPAMENTO
000245;FILTRO OLEO
000246;INTERRUPTOR TEMPERATURA AGUA
000247;INTERRUPTOR TEMPERATURA AGUA
000248;ATUADOR EMBREAGEM
000249;CEBOLAO RADIADOR S/ACD
000250;VALVULA TERMOSTATICA
000251;JUNTA TV
000252;CILINDRO MESTRE
000253;JUNTA CARTER
000254;RETENTOR VOLANTE
000255;CORREIA CVA
000256;JUNTA TV
000257;CORREIA CVA
000258;JUNTA COLETOR ADMISSAO
000259;AMORT DT
000260;TENSOR CVA
000261;KIT EMBREAGEM
000262;INTERRUPTOR TEMPERATURA INJECAO
000263;KIT EMBREAGEM
000264;AMORT DT
000265;BATERIA
000266;CORREIA CVA
000267;CORREIA CVA
000268;JUNTA TV
000269;VEDA COLA BRANCA JUNTA LIQUIDA
000270;REPARO PINCA
000271;ROLAMENTO EIXO PILOTO
000272;JUNTA CABECOTE
000273;CILINDRO RODA
000274;CORREIA EIXO BALANCEADOR
000275;AMORT TAMPA TS
000276;CORREIA CVA
000277;BUJAO CARTER MOTOR
000278;TRAVA PIVO
000279;JUNTA CABECOTE
000280;CORREIA ALT
000281;MANGUEIRA LONADA 12MM CARBURADOR
000282;VALVULA TERMOSTATICA
000283;DISCO FREIO DT VENTILADO
000284;COXIM AMORT TS
000285;REPARO TRAMBULADOR
000286;CORREIA CVA
000287;CORREIA ALT
000288;INTERRUPTOR TEMPERATURA INJECAO
000289;CORREIA CVA
000290;FLEXIVEL FREIO TS
000291;FLEXIVEL TS
000292;LONA C/ PATIM
000293;BUCHA SUPORTE BARRA TENSORA SUSP DT
000294;COIFA RODA
000295;REPARO PINCA
000296;INTERRUPTOR TEMPERATURA INJECAO
000297;CARTER MOTOR
000298;COIFA RODA/CAIXA
000299;TUCHO VALVULA MOTOR
000300;ROLAMENTO RODA DT
000301;BIELETA DT
000302;JUNTA MOTOR
000303;RESERVATORIO AGUA
000304;VALVULA TERMOSTATICA
000305;RETENTOR CAIXA (HASTE SELETORA)
000306;KIT EMBREAGEM
000307;BARRA FIXA DIRECAO LD
000308;CANO DAGUA
000309;ANTI CHAMA
000310;EIXO COMANDO
000311;AMORT TS
000312;TAMPA OLEO
000313;PONTEIRA DIRECAO LD
000314;PONTEIRA DIRECAO LE
000315;T PLASTICO DE AR (CX92) CWB
000316;T PLASTICO DE AR 2FINA 1GROSSA (CX95)
000318;T PLASTICO AVANCO ELETROBOMBA (CX94) CWB
000319;TAMPA COMANDO VALVULA
000320;CANO DAGUA
000321;CANO DAGUA
000322;TAMPA RADIADOR
000323;RETENTOR CVA
000324;BATENTE/COIFA AMORT TS
000325;JUNTA CAIXA
000326;OLEO CAIXA
000327;CONDENSADOR
000328;PLATINADO FUSCA 68/72 (CX85) BOSCH
